Name,LLoydNumber,GrossRegisterTonnage,NetRegisterTonnage,Latest VOS,Latest ETA,Name_New,MMSI,GrossRegisterTonnage_New,NetRegisterTonnage_NEW,CallSign,Flag,Length,Beam,Draught,Deadweight,YearBuilt,OldNames,Active,YearBuilt
CMA CGM HABANA,9117349,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM IGUACU,9344552,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM ITAJAI,9060297,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM JADE,9324875,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM JAGUAR,9301433,0,0,VOS0000040276,8/17/2020 12:00,,,,,,,,,,,,,,
CMA CGM JAMAICA,9326770,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM JASMIN,7819371,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM JASPER,9397614,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM KINGFISH,9330991,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM KINGSTON,9238806,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM LAPIS,9386495,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM LAVENDER,9314973,0,0,VOS0000005570,10/2/2017 2:00,,,,,,,,,,,,,,
CMA CGM L'ETOILE ,9301469,0,0,VOS0000024863,6/2/2019 9:00,,,,,,,,,,,,,,
CMA CGM LIMON,9123922,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM MANZANILLO,9298612,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM MARLIN,9330989,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM MARMARA,9152868,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM MAYA,9088524,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM MIMOSA,9314961,0,0,VOS0000035653,3/30/2020 5:00,,,,,,,,,,,,,,
CMA CGM NEW JERSEY,9351141,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM NILGAI,9238789,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM ONYX,9334143,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM OPAL,9386483,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM ORCHILD,9315812,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM PARATI,9134634,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM PAULISTA,9134660,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM PLATON,9362437,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM PROVIDENCIA,9344710,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM QUARTZ,9385611,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM QUETZAL,9114191,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM RESPECT,9303754,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM SAMBA,9126871,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM SAPPHIRE,9005247,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM SCALA,9335173,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM SIMBA,9072111,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM ST LAURENT,9152909,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM SWORDFISH,9331000,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM TARPON,9331012,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM TOPAZ,9397602,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM VIRGINIA,9351139,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM WHITE SHARK,9317975,0,0,NULL,NULL,,,,,,,,,,,,,,
CMA CGM YANTIAN,9238791,0,0,NULL,NULL,,,,,,,,,,,,,,
CMB BORIS,9474228,0,0,NULL,NULL,,,,,,,,,,,,,,
CMB CHARLOTTE,9559705,0,0,NULL,NULL,,,,,,,,,,,,,,
CMB LILIANE,9474266,0,0,NULL,NULL,,,,,,,,,,,,,,
CMB MAE,9474216,0,0,NULL,NULL,,,,,,,,,,,,,,
CMB PAULE,9474280,0,0,NULL,NULL,,,,,,,,,,,,,,
CMB VIRGINIE,9597989,0,0,NULL,NULL,,,,,,,,,,,,,,
CNF LIONS,9115080,0,0,NULL,NULL,,,,,,,,,,,,,,
CNP PAITA,9144160,16801,8672,NULL,NULL,,,,,,,,,,,,,,
COLORADO STAR,9527609,0,0,NULL,NULL,,,,,,,,,,,,,,
COLUMBA,9594602,0,0,NULL,NULL,,,,,,,,,,,,,,
COLUMBIA HIGHWAY,9442873,0,0,NULL,NULL,,,,,,,,,,,,,,
COLUMBUS 2,9156462,0,0,NULL,NULL,,,,,,,,,,,,,,
COMET,9146106,0,0,NULL,NULL,,,,,,,,,,,,,,
COMMANDER,8204573,0,0,NULL,NULL,,,,,,,,,,,,,,
COMMODORE,9055761,0,0,NULL,NULL,,,,,,,,,,,,,,
COMPASS,9274094,41583,20922,VOS0000009933,2/28/2018 2:00,,,,,,,,,,,,,,
COMPASSION,9295036,41589,20921,VOS0000017348,10/10/2018 15:00,,,,,,,,,,,,,,
CON EAST,9145267,0,0,NULL,NULL,,,,,,,,,,,,,,
CONCORD,9258600,0,0,NULL,NULL,,,,,,,,,,,,,,
CONDOCK V,8404991,0,0,NULL,NULL,,,,,,,,,,,,,,
CONDOR II,7004251,0,0,NULL,NULL,,,,,,,,,,,,,,
CONFIDENCE,9280366,0,0,VOS0000033791,2/7/2020 14:00,,,,,,,,,,,,,,
CONISTON,9015759,0,0,NULL,NULL,,,,,,,,,,,,,,
CONQUEROR,8223579,0,0,NULL,NULL,,,,,,,,,,,,,,
CONRAD S,9327592,0,0,NULL,NULL,,,,,,,,,,,,,,
CONSTITUTION,9191333,0,0,NULL,NULL,,,,,,,,,,,,,,
CONTEST,9272199,0,0,NULL,NULL,,,,,,,,,,,,,,
CONTI AGULHAS,9391361,0,0,VOS0000011234,4/9/2018 3:00,,,,,,,,,,,,,,
CONTI ARABELLA,9357119,0,0,NULL,NULL,,,,,,,,,,,,,,
CONTI ARABIAN,8905878,0,0,NULL,NULL,,,,,,,,,,,,,,
CONTI BENGUELA,9391373,0,0,VOS0000017587,10/15/2018 6:00,,,,,,,,,,,,,,
CONTI CHN,9113630,0,0,NULL,NULL,,,,,,,,,,,,,,
CONTI EMDEN,9313242,0,0,NULL,NULL,,,,,,,,,,,,,,
CONTI EQUATOR,9391385,0,0,VOS0000008880,1/26/2018 8:00,,,,,,,,,,,,,,
CONTI HARMONY,9137894,0,0,NULL,NULL,,,,,,,,,,,,,,
CONTI LAPISLAZULI,9452658,0,0,NULL,NULL,,,,,,,,,,,,,,
CONTI SALOME,9357080,0,0,NULL,NULL,,,,,,,,,,,,,,
CONTI VALENCIA,9154220,0,0,NULL,NULL,,,,,,,,,,,,,,
CONTINENTAL HIGHWAY,9238519,0,0,NULL,NULL,,,,,,,,,,,,,,
CORAL ACE,9176266,0,0,NULL,NULL,,,,,,,,,,,,,,
CORAL ANTHELIA,9625140,6441,1932,VOS0000038565,5/31/2020 8:00,,,,,,,,,,,,,,
CORAL QUEEN,9524023,0,0,NULL,NULL,,,,,,,,,,,,,,
CORCOVADO ,9241463,0,0,NULL,NULL,,,,,,,,,,,,,,
CORDELIA,9253014,0,0,NULL,NULL,,,,,,,,,,,,,,
CORETALENT OL,9597410,0,0,NULL,NULL,,,,,,,,,,,,,,
CORN LILY,8714669,0,0,NULL,NULL,,,,,,,,,,,,,,
CORNELIA,9216597,0,0,NULL,NULL,,,,,,,,,,,,,,
CORONA III,9169342,0,0,NULL,NULL,,,,,,,,,,,,,,
CORONA J,9238686,0,0,NULL,NULL,,,,,,,,,,,,,,
CORREGIDORA,7821166,0,0,NULL,NULL,,,,,,,,,,,,,,
CORSAIR,9228643,0,0,NULL,NULL,,,,,,,,,,,,,,
COS FAIR,9168881,0,0,NULL,NULL,,,,,,,,,,,,,,
COSMOS ACE,9155363,0,0,NULL,NULL,,,,,,,,,,,,,,
COSTA ALLEGRA I,6916885,0,0,NULL,NULL,,,,,,,,,,,,,,
COSTA DELIZIOSA,9398917,0,0,NULL,NULL,,,,,,,,,,,,,,
COSTA FORTUNA,9239783,0,0,NULL,NULL,,,,,,,,,,,,,,
COSTA LUMINOSA,9398905,0,0,NULL,NULL,,,,,,,,,,,,,,
COSTA MAGICA,9239795,0,0,NULL,NULL,,,,,,,,,,,,,,
COSTA MARINA,6910544,0,0,NULL,NULL,,,,,,,,,,,,,,
COSTA MEDITERRANEA,9237345,0,0,NULL,NULL,,,,,,,,,,,,,,
COTOPAXI,9174579,0,0,NULL,NULL,,,,,,,,,,,,,,
COUNT FLEET,7611896,0,0,NULL,NULL,,,,,,,,,,,,,,
COURAGEOUS ACE,9252204,0,0,VOS0000029469,10/2/2019 0:00,,,,,,,,,,,,,,
COVE ISLAND,9245677,0,0,NULL,NULL,,,,,,,,,,,,,,
COZUMEL,9444429,0,0,NULL,NULL,,,,,,,,,,,,,,
CPO DEU,9353096,0,0,NULL,NULL,,,,,,,,,,,,,,
CPO ENGLAND,9353149,0,0,NULL,NULL,,,,,,,,,,,,,,
CPO INDIA,9434228,0,0,VOS0000029283,9/28/2019 0:00,,,,,,,,,,,,,,
CPO MALAYSIA,9443164,0,0,NULL,NULL,,,,,,,,,,,,,,
CPO NOR,9353113,0,0,VOS0000012975,6/4/2018 22:00,,,,,,,,,,,,,,
CPO SWE,9353084,0,0,NULL,NULL,,,,,,,,,,,,,,
CRINIS,9598165,0,0,VOS0000003733,7/28/2017 10:00,,,,,,,,,,,,,,
CRISTAL,6505521,0,0,NULL,NULL,,,,,,,,,,,,,,
CRISTINA EXPRESS,7910199,0,0,NULL,NULL,,,,,,,,,,,,,,
CRISTINA K 1,7612280,0,0,NULL,NULL,,,,,,,,,,,,,,
CRONUS LEADER,9464455,61804,18542,VOS0000014685,7/25/2018 11:00,,,,,,,,,,,,,,
CROSBY PATRIOT,7417408,0,0,NULL,NULL,,,,,,,,,,,,,,
CROWN MINA ,9630729,0,0,NULL,NULL,,,,,,,,,,,,,,
CROWN PEARL,8702850,0,0,NULL,NULL,,,,,,,,,,,,,,
CROWN PRINCESS I,9293399,0,0,NULL,NULL,,,,,,,,,,,,,,
CROWN TOPAZ,9191498,0,0,NULL,NULL,,,,,,,,,,,,,,
CRUX,9251080,0,0,NULL,NULL,,,,,,,,,,,,,,
CRYSTAL ACE,9539224,0,0,NULL,NULL,,,,,,,,,,,,,,
CRYSTAL AMARANTO,9172155,0,0,NULL,NULL,,,,,,,,,,,,,,
CRYSTAL DIAMOND,9327059,0,0,NULL,NULL,,,,,,,,,,,,,,
CRYSTAL RAY,9210440,0,0,NULL,NULL,,,,,,,,,,,,,,
CRYSTAL SERENITY,9243667,0,0,NULL,NULL,,,,,,,,,,,,,,
CRYSTAL SYMPHONY,9066667,0,0,NULL,NULL,,,,,,,,,,,,,,
CRYSTAL TOPAZ,9327047,0,0,NULL,NULL,,,,,,,,,,,,,,
CS CAPRICE,9406104,0,0,NULL,NULL,,,,,,,,,,,,,,
CS CHARA,9320295,0,0,NULL,NULL,,,,,,,,,,,,,,
CS CRYSTAL,9406128,0,0,NULL,NULL,,,,,,,,,,,,,,
CS OCEAN ,9363273,0,0,VOS0000014933,8/1/2018 5:00,,,,,,,,,,,,,,
CS SETUBAL,9157131,0,0,NULL,NULL,,,,,,,,,,,,,,
CS SONOMA,9569944,0,0,NULL,NULL,,,,,,,,,,,,,,
CS VANGUARD,9285419,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV ANDINO,9013294,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV APPENNINI,9141297,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV BARCELONA I,9262545,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV CALIFORNIA,8912742,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV CHN,9160425,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV COL,9070656,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV GENOVA I,9262558,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV ILHA BELA,9256406,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV ITAJAI,9334375,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV LAJA,9351048,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV LANCO,9224324,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV LAUCA,9351050,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV LEBU,9443463,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV LICANTEN,9224300,0,0,VOS0000001944,5/16/2017 21:00,,,,,,,,,,,,,,
CSAV LINGUE,9443475,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV LIRQUEN,9280809,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV LIVORNO I,9226322,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV LLANQUIHUE,9431800,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV LONCOMILLA,9437885,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV LUMACO,9443487,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV MANZANILLO,9105968,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV MARESIAS,9105970,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV MONTREAL,9149902,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV NEW YORK,9138305,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV NLD,9292137,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV RAHUE,9353228,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV RANQUIL,9346005,0,0,VOS0000039481,7/22/2020 10:00,,,,,,,,,,,,,,
CSAV RAUTEN,9391799,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV RENAICO,9329643,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV RIO BAKER,9232383,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV RIO ITATA,9427938,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV RIO LONTUE,9311830,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV RIO PETROHUE,9232412,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV RIO PUEL0,9243239,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV ROMERAL,9372872,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV SAN ANTONIO,9122057,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV TIANJIN,9299484,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV VALENCIA I,9131254,0,0,NULL,NULL,,,,,,,,,,,,,,
CSAV VEN,9357846,0,0,VOS0000008560,1/15/2018 5:00,,,,,,,,,,,,,,
CSAV YOKOHAMA,9294020,0,0,NULL,NULL,,,,,,,,,,,,,,
CSCC ASIA,9391581,0,0,VOS0000029198,9/27/2019 6:00,,,,,,,,,,,,,,
CSCC EUROPE,9391593,0,0,NULL,NULL,,,,,,,,,,,,,,
CSCL BARCELONA,9228514,0,0,NULL,NULL,,,,,,,,,,,,,,
CSCL CHIWAN,9224312,0,0,NULL,NULL,,,,,,,,,,,,,,
CSCL DALIAN,9227027,0,0,VOS0000000712,2/13/2017 5:00,,,,,,,,,,,,,,
CSCL FELIXSTOWE,9227039,0,0,VOS0000001604,4/26/2017 6:00,,,,,,,,,,,,,,
CSCL HOUSTON,9400825,0,0,NULL,NULL,,,,,,,,,,,,,,
CSCL MELBOURNE,9290127,0,0,NULL,NULL,,,,,,,,,,,,,,
CSCL NEW YORK,9290015,0,0,NULL,NULL,,,,,,,,,,,,,,
CSCL NINGBO,9227015,0,0,NULL,NULL,,,,,,,,,,,,,,
CSCL SYDNEY,9290103,0,0,NULL,NULL,,,,,,,,,,,,,,
CSCL VANCOUVER,9290098,0,0,NULL,NULL,,,,,,,,,,,,,,
CSK GLORY,9224776,0,0,NULL,NULL,,,,,,,,,,,,,,
CSL MANHATTAN,9289556,0,0,NULL,NULL,,,,,,,,,,,,,,
CSL SOPHIE,9293466,54519,22921,VOS0000029864,10/15/2019 21:00,,,,,,,,,,,,,,
CSL VIRGINIA,9289568,0,0,NULL,NULL,,,,,,,,,,,,,,
CT CORK,9393060,0,0,VOS0000033646,2/2/2020 7:00,,,,,,,,,,,,,,
CT DUBLIN,9399589,0,0,NULL,NULL,,,,,,,,,,,,,,
CUMBRIA,8807650,0,0,NULL,NULL,,,,,,,,,,,,,,
CURACAO PEARL,8308147,0,0,NULL,NULL,,,,,,,,,,,,,,
CYGNUS I,9354260,0,0,NULL,NULL,,,,,,,,,,,,,,
CYNTHIA PIONEER,9392133,0,0,NULL,NULL,,,,,,,,,,,,,,
DA PENG WAN,9383340,0,0,NULL,NULL,,,,,,,,,,,,,,
DA YANG YI HAO,8226961,0,0,NULL,NULL,,,,,,,,,,,,,,
DAGMAR THERESA,9228588,0,0,NULL,NULL,,,,,,,,,,,,,,
DAHLIA,9314959,0,0,NULL,NULL,,,,,,,,,,,,,,
DAIWAN ELEGANCE,9697894,0,0,VOS0000009184,2/6/2018 2:00,,,,,,,,,,,,,,
DAIWAN WISDOM,9427134,0,0,NULL,NULL,,,,,,,,,,,,,,
DANAE C,9226425,0,0,NULL,NULL,,,,,,,,,,,,,,
DANICA,8113372,0,0,NULL,NULL,,,,,,,,,,,,,,
DANICA BROWN,8421872,0,0,NULL,NULL,,,,,,,,,,,,,,
DANICA FOUR,8222812,0,0,NULL,NULL,,,,,,,,,,,,,,
DANNY BOY,9324722,0,0,NULL,NULL,,,,,,,,,,,,,,
DART,8315138,0,0,NULL,NULL,,,,,,,,,,,,,,
DARYA BHAKTI,9291080,0,0,NULL,NULL,,,,,,,,,,,,,,
DARYA LAKSHMI,8308898,0,0,NULL,NULL,,,,,,,,,,,,,,
DAVINO D,9330379,0,0,NULL,NULL,,,,,,,,,,,,,,
DAWN I,9125281,0,0,NULL,NULL,,,,,,,,,,,,,,
DAYA I,7637046,0,0,NULL,NULL,,,,,,,,,,,,,,
DAYAHAI,9251872,0,0,NULL,NULL,,,,,,,,,,,,,,
DD TRADER,8309139,0,0,NULL,NULL,,,,,,,,,,,,,,
DD VANGUARD,9357420,0,0,NULL,NULL,,,,,,,,,,,,,,
DD VIGILANT,9357432,0,0,NULL,NULL,,,,,,,,,,,,,,
DE SHENG HAI,9751315,25622,13063,VOS0000022093,3/5/2019 0:00,,,,,,,,,,,,,,
DE ZHOU,9350575,0,0,NULL,NULL,,,,,,,,,,,,,,
DELMAS BRAZZAVILLE,9160401,0,0,NULL,NULL,,,,,,,,,,,,,,
DELPHI,9283796,0,0,NULL,NULL,,,,,,,,,,,,,,
DELPHI RANGER,9438054,0,0,NULL,NULL,,,,,,,,,,,,,,
DELPHIN VOYAGER,8902333,0,0,NULL,NULL,,,,,,,,,,,,,,
DEMETER,9298636,0,0,NULL,NULL,,,,,,,,,,,,,,
DENEB J,9344241,0,0,NULL,NULL,,,,,,,,,,,,,,
DENIKI,1009077,0,0,NULL,NULL,,,,,,,,,,,,,,
DENNY Z,8306905,0,0,NULL,NULL,,,,,,,,,,,,,,
DEO VOLENTE,9391658,0,0,NULL,NULL,,,,,,,,,,,,,,
DESERT EAGLE,9224790,0,0,NULL,NULL,,,,,,,,,,,,,,
DESERT EXPLORER,8306838,0,0,NULL,NULL,,,,,,,,,,,,,,
DESERT MELODY,9300283,0,0,NULL,NULL,,,,,,,,,,,,,,
DESERT UNITY,9300295,0,0,NULL,NULL,,,,,,,,,,,,,,
DESPINA ANDRIANA,9182667,0,0,NULL,NULL,,,,,,,,,,,,,,
DIAMANTIS P,9146314,0,0,NULL,NULL,,,,,,,,,,,,,,
DIAMOND JUBILEE,9514377,0,0,NULL,NULL,,,,,,,,,,,,,,
DIAMOND QUEEN,9642136,0,0,NULL,NULL,,,,,,,,,,,,,,
DIANA,9460253,0,0,NULL,NULL,,,,,,,,,,,,,,
DIANA II,9370082,0,0,NULL,NULL,,,,,,,,,,,,,,
DIEGO,7214284,0,0,NULL,NULL,,,,,,,,,,,,,,
DIGNO,8206806,0,0,NULL,NULL,,,,,,,,,,,,,,
DILER 4,8308903,0,0,NULL,NULL,,,,,,,,,,,,,,
DILIGENCE,9132674,0,0,NULL,NULL,,,,,,,,,,,,,,
DILOS,9460825,0,0,NULL,NULL,,,,,,,,,,,,,,
DIMITRA,9080182,0,0,NULL,NULL,,,,,,,,,,,,,,
DIMITRIS MANIOS II,8307040,0,0,NULL,NULL,,,,,,,,,,,,,,
DIMITROVSKY KOMSOMOL,8510934,0,0,NULL,NULL,,,,,,,,,,,,,,
DINKELDIEP,9518983,0,0,NULL,NULL,,,,,,,,,,,,,,
DIONYSOS LEADER,9426350,62993,18897,VOS0000023844,4/28/2019 3:00,,,,,,,,,,,,,,
DIPPER,7353028,0,0,NULL,NULL,,,,,,,,,,,,,,
DIRCH MAERSK,9105932,0,0,NULL,NULL,,,,,,,,,,,,,,
DISCOVERER II,8001008,0,0,NULL,NULL,,,,,,,,,,,,,,
DISCOVERY,5090660,0,0,NULL,NULL,,,,,,,,,,,,,,
DISNEY FANTASY ,9445590,0,0,NULL,NULL,,,,,,,,,,,,,,
DISNEY MAGIC,9126807,0,0,NULL,NULL,,,,,,,,,,,,,,
DISNEY WONDER,9126819,84130,54378,NULL,NULL,,,,,,,,,,,,,,
DIVINE ACE,9610432,59022,18289,VOS0000006516,11/6/2017 6:00,,,,,,,,,,,,,,
DOBRUSH,8101939,0,0,NULL,NULL,,,,,,,,,,,,,,
DOGAN,9625475,0,0,NULL,NULL,,,,,,,,,,,,,,
DOKOS,9163477,0,0,NULL,NULL,,,,,,,,,,,,,,
DOLLART TRADER,9162356,0,0,NULL,NULL,,,,,,,,,,,,,,
DOLPHIN II ,9318125,0,0,VOS0000002519,6/18/2017 2:00,,,,,,,,,,,,,,
DOMINATOR,9015101,0,0,NULL,NULL,,,,,,,,,,,,,,
DOMINIA,9376854,0,0,NULL,NULL,,,,,,,,,,,,,,
DONATA SCHULTE,9624005,0,0,NULL,NULL,,,,,,,,,,,,,,
DONG FANG KAN TAN NO.1,9138458,0,0,NULL,NULL,,,,,,,,,,,,,,
DONG-A GLAUCOS,9441867,0,0,VOS0000036507,4/29/2020 4:00,,,,,,,,,,,,,,
DONGCHANGHAI,9158381,0,0,NULL,NULL,,,,,,,,,,,,,,
DOOYANG VICTOR,8412912,0,0,NULL,NULL,,,,,,,,,,,,,,
DORA,8024076,0,0,NULL,NULL,,,,,,,,,,,,,,
DORADO LEADER,9308895,0,0,VOS0000008834,1/24/2018 4:00,,,,,,,,,,,,,,
DORADODIEP,9518995,0,0,NULL,NULL,,,,,,,,,,,,,,
DORIC GLORY,7372165,0,0,NULL,NULL,,,,,,,,,,,,,,
DOROTHEA,8309438,0,0,NULL,NULL,,,,,,,,,,,,,,
DORRA,9386964,160782,109346,NULL,NULL,,,,,,,,,,,,,,
DORSET,7609702,0,0,NULL,NULL,,,,,,,,,,,,,,
DOUBTLESS,8913588,0,0,NULL,NULL,,,,,,,,,,,,,,
DOVE,7380746,0,0,NULL,NULL,,,,,,,,,,,,,,
DOVER STRAIT,9236597,0,0,NULL,NULL,,,,,,,,,,,,,,
DOXA,8029167,0,0,NULL,NULL,,,,,,,,,,,,,,
DRAKE,9317729,0,0,NULL,NULL,,,,,,,,,,,,,,
DREAM DIVA,9325790,0,0,NULL,NULL,,,,,,,,,,,,,,
DREGGEN,9416070,0,0,NULL,NULL,,,,,,,,,,,,,,
DROMEAS,8407670,0,0,NULL,NULL,,,,,,,,,,,,,,
DS PROGRESS,9268904,0,0,NULL,NULL,,,,,,,,,,,,,,
DU AN CHENG,9484039,0,0,NULL,NULL,,,,,,,,,,,,,,
DUBAI EXPRESS,9301782,39941,24458,VOS0000003512,7/21/2017 5:00,,,,,,,,,,,,,,
DUKHAN,9251286,0,0,NULL,NULL,,,,,,,,,,,,,,
DURANDE,9256365,0,0,NULL,NULL,,,,,,,,,,,,,,
DURBAN BULKER,9300219,0,0,NULL,NULL,,,,,,,,,,,,,,
DUSITA NAREE,9127071,0,0,NULL,NULL,,,,,,,,,,,,,,
DUSSELDORF EXPRESS,9143556,0,0,NULL,NULL,,,,,,,,,,,,,,
DYNAMIC STRIKER ,9493962,0,0,NULL,NULL,,,,,,,,,,,,,,
DYVI KATTEGAT,7325215,0,0,NULL,NULL,,,,,,,,,,,,,,
E. R. ALBANY,9116369,0,0,NULL,NULL,,,,,,,,,,,,,,
E. R. DURBAN,9150406,0,0,NULL,NULL,,,,,,,,,,,,,,
E. R. SYDNEY,9169495,0,0,NULL,NULL,,,,,,,,,,,,,,
E. R. TIANPING,9305489,91649,56693,VOS0000017194,10/5/2018 11:00,,,,,,,,,,,,,,
E.R. BOSTON,9507881,0,0,NULL,NULL,,,,,,,,,,,,,,
E.R. BRIGHTON,9507788,0,0,NULL,NULL,,,,,,,,,,,,,,
E.R. BRISTOL,9507790,0,0,NULL,NULL,,,,,,,,,,,,,,
E.R. DENMARK,9231250,0,0,NULL,NULL,,,,,,,,,,,,,,
E.R. KOBE,9222974,0,0,NULL,NULL,,,,,,,,,,,,,,
E.R. WILHELMSHAVEN,9246310,0,0,NULL,NULL,,,,,,,,,,,,,,
EAGLE BAY,9038488,0,0,NULL,NULL,,,,,,,,,,,,,,
EAGLE EXPRESS,9414280,0,0,NULL,NULL,,,,,,,,,,,,,,
EAST ENERGY,7360136,0,0,NULL,NULL,,,,,,,,,,,,,,
EAST SIBERIAN SEA,9160530,0,0,NULL,NULL,,,,,,,,,,,,,,
EASTERN HIGHWAY,9325764,0,0,VOS0000037683,5/29/2020 4:00,,,,,,,,,,,,,,
EBANO,7606784,0,0,NULL,NULL,,,,,,,,,,,,,,
EBONY POINT,9290608,0,0,NULL,NULL,,,,,,,,,,,,,,
ECHO,9165449,0,0,NULL,NULL,,,,,,,,,,,,,,
ECLIPS,9126924,0,0,NULL,NULL,,,,,,,,,,,,,,
ECO CROSSFIRE,9646429,0,0,NULL,NULL,,,,,,,,,,,,,,
EDISONGRACHT,9081289,0,0,NULL,NULL,,,,,,,,,,,,,,
EENDRACHT,8814275,0,0,NULL,NULL,,,,,,,,,,,,,,
EFFICIENCY OL ,9491666,0,0,NULL,NULL,,,,,,,,,,,,,,
EFSTATIOS,7503867,0,0,NULL,NULL,,,,,,,,,,,,,,
EGEMEN DOVEN,8702874,0,0,NULL,NULL,,,,,,,,,,,,,,
EIDER I,9285938,0,0,NULL,NULL,,,,,,,,,,,,,,
EIT PALMINA,9538892,0,0,NULL,NULL,,,,,,,,,,,,,,
EKARMA,9630016,0,0,NULL,NULL,,,,,,,,,,,,,,
EKMEN,9136888,0,0,NULL,NULL,,,,,,,,,,,,,,
EKMEN TRANS,9204348,0,0,NULL,NULL,,,,,,,,,,,,,,
EKTOR,7917006,0,0,NULL,NULL,,,,,,,,,,,,,,
EL CONDOR PASA,9234202,0,0,VOS0000013331,6/12/2018 9:30,,,,,,,,,,,,,,
EL PRINCIPE ANDRES,7045683,0,0,NULL,NULL,,,,,,,,,,,,,,
EL TORO,9168403,0,0,NULL,NULL,,,,,,,,,,,,,,
EL TORO I,9330264,0,0,NULL,NULL,,,,,,,,,,,,,,
ELAR TRADER,9409534,0,0,NULL,NULL,,,,,,,,,,,,,,
ELBEGAS,8222214,0,0,NULL,NULL,,,,,,,,,,,,,,
ELBRUS I,8918095,0,0,NULL,NULL,,,,,,,,,,,,,,
ELECTRA A,9236511,0,0,NULL,NULL,,,,,,,,,,,,,,
